Total_energy_Delta_E_AB_AB,Total_energy_BSSE_A,Total_energy_BSSE_B,MP2_correlation_energy_Delta_E_AB_AB,MP2_correlation_energy_BSSE_A,MP2_correlation_energy_BSSE_B,(T)_correlation_energy_Delta_E_AB_AB,(T)_correlation_energy_BSSE_A,(T)_correlation_energy_BSSE_B,CCSD_3correlation_energy_Delta_E_AB_AB,CCSD_3correlation_energy_BSSE_A,CCSD_3correlation_energy_BSSE_B,SCF_energy_Delta_E_AB_AB,SCF_energy_BSSE_A,SCF_energy_BSSE_B,x,y,z
"(0.0011311833297895646,)","(0.000178505376453586,)","(0.0001784820195496195,)","(-0.00015177043902903087,)","(6.672879055300007e-05,)","(6.672879055300007e-05,)","(-2.982222165500044e-05,)","(1.6668601651999987e-05,)","(1.666794377000024e-05,)","(-4.219838441393842e-05,)","(7.245167510994133e-06,)","(7.222468493994771e-06,)","(0.0013549743740099984,)","(8.786281600237089e-05,)","(8.786281600237089e-05,)",1.0,1.75,1.5
"(0.0004786644463763423,)","(0.00014841880536664576,)","(0.00014841229767625919,)","(-0.00014066897313197435,)","(5.8179567393013e-05,)","(5.81795673940122e-05,)","(-2.2452373997000098e-05,)","(1.4610176881000268e-05,)","(1.4609961160000177e-05,)","(-2.6834038652001624e-05,)","(8.699983147980594e-06,)","(8.693691331967957e-06,)","(0.000668619831998285,)","(6.69290780024312e-05,)","(6.692907700767137e-05,)",1.0,1.75,1.75
"(0.08370954149489762,)","(0.001383720802039079,)","(0.0013836539471867582,)","(0.0009284036392349648,)","(0.0007055669877630011,)","(0.0007055669877630011,)","(-8.751103611299993e-05,)","(6.579365963700016e-05,)","(6.57899431760001e-05,)","(-0.00022308027782197426,)","(3.900290310299148e-05,)","(3.893976483398953e-05,)","(0.08309172916898433,)","(0.0005733572509996065,)","(0.0005733572509996065,)",1.25,0.25,1.0
"(0.03884406086541503,)","(0.0009145895635072065,)","(0.0009146081687561036,)","(0.00046256784898501824,)","(0.0003896337443650144,)","(0.0003896337443640152,)","(-7.63789858689995e-05,)","(5.146837426900017e-05,)","(5.146922218000026e-05,)","(-0.00023620137241001093,)","(3.4331628453981855e-05,)","(3.4349386024978834e-05,)","(0.03869407337498387,)","(0.000439155815996628,)","(0.000439155815996628,)",1.25,0.25,1.25
"(0.01641336225776513,)","(0.0004901274081134943,)","(0.0004901023460206488,)","(0.00011352795150199047,)","(0.00019502960035300276,)","(0.00019502960035300276,)","(-6.591101144700056e-05,)","(3.974531589799992e-05,)","(3.9744262908000035e-05,)","(-0.00018205502424895048,)","(2.1661230420993993e-05,)","(2.163722134498891e-05,)","(0.01654780034198211,)","(0.0002336912610019226,)","(0.0002336912610019226,)",1.25,0.25,1.5
"(0.00639740577230441,)","(0.0002512730086436932,)","(0.00025127557671567047,)","(-7.935511964002329e-05,)","(0.00011518787701000899,)","(0.00011518787701000899,)","(-5.2558691338999795e-05,)","(2.9041522945000287e-05,)","(2.904165882699995e-05,)","(-0.00011406706410199696,)","(8.648766602975533e-06,)","(8.651198673964577e-06,)","(0.006643386648022442,)","(9.839484201279447e-05,)","(9.839484201279447e-05,)",1.25,0.25,1.75
"(0.1207029669129156,)","(0.0016113760651990106,)","(0.0016113799977972576,)","(0.0011765880160480302,)","(0.0008926816903770118,)","(0.0008926816903770118,)","(-9.749875339799992e-05,)","(7.474199563400029e-05,)","(7.474179595400032e-05,)","(-0.0001700210938280211,)","(3.977796845197612e-05,)","(3.978210096797219e-05,)","(0.11979389874397839,)","(0.0006041744100002688,)","(0.0006041744100002688,)",1.25,0.5,0.75
"(0.06430521444769965,)","(0.0012185309423102808,)","(0.0012185211378437089,)","(0.0007545869631190305,)","(0.0005829494008130209,)","(0.0005829494008130209,)","(-8.288711012199987e-05,)","(6.027830911700021e-05,)","(6.027758471100018e-05,)","(-0.00023912645927001708,)","(3.8074478628968844e-05,)","(3.806539863795977e-05,)","(0.06387264105296708,)","(0.0005372287529894493,)","(0.0005372287529894493,)",1.25,0.5,1.0
"(0.030491801577227307,)","(0.0007798697749308303,)","(0.0007798703259709328,)","(0.000345262709904981,)","(0.00031832375314599926,)","(0.00031832375314699846,)","(-7.355122499199968e-05,)","(4.785581468400024e-05,)","(4.785703713299991e-05,)","(-0.00022479706256095522,)","(3.141001243597841e-05,)","(3.140934102399684e-05,)","(0.030444887153976197,)","(0.000382280194003215,)","(0.000382280194003215,)",1.25,0.5,1.25
"(0.0131218922137748,)","(0.0004102473237992399,)","(0.0004102397265342006,)","(5.2107256920008727e-05,)","(0.0001674402347400239,)","(0.00016744023469600355,)","(-6.290548623899984e-05,)","(3.7061125359000215e-05,)","(3.70638131980002e-05,)","(-0.00016493815594803563,)","(1.7975030978972795e-05,)","(1.7964674140974468e-05,)","(0.013297628597996436,)","(0.00018777093200128547,)","(0.00018777100399347546,)",1.25,0.5,1.5
"(0.005194904973194525,)","(0.00022908181355774104,)","(0.0002290565179805526,)","(-0.00010215837568999797,)","(0.00010607907296600327,)","(0.00010607907289900131,)","(-4.949218981200026e-05,)","(2.6927313941000307e-05,)","(2.692552927200005e-05,)","(-0.00010152096863799698,)","(7.081579406986727e-06,)","(7.057996596976368e-06,)","(0.005448076508031363,)","(8.89938470152174e-05,)","(8.899391900740738e-05,)",1.25,0.5,1.75
"(0.12070289381031785,)","(0.0016113724252591055,)","(0.0016113723321211637,)","(0.00117658783421698,)","(0.0008926816014500072,)","(0.000892681601449008,)","(-9.75000437850003e-05,)","(7.474185430000023e-05,)","(7.474173885100004e-05,)","(-0.00017009280814198058,)","(3.977455912998473e-05,)","(3.9774581189977454e-05,)","(0.11979389882799296,)","(0.0006041744100002688,)","(0.0006041744100002688,)",1.25,0.75,0.5
"(0.07659168808834238,)","(0.001327907313338983,)","(0.0013278943408181476,)","(0.000868695968501032,)","(0.0006628558590170142,)","(0.000662855859016015,)","(-8.579173929900005e-05,)","(6.385317190400015e-05,)","(6.385219084600012e-05,)","(-0.00023029468832003186,)","(3.8711457933965354e-05,)","(3.869946660797763e-05,)","(0.0760390785470122,)","(0.0005624868240090564,)","(0.0005624868240090564,)",1.25,0.75,0.75
"(0.04216670307602044,)","(0.0009622642573958728,)","(0.0009622776309470282,)","(0.0005058298520999593,)","(0.0004170302730280018,)","(0.0004170302730280018,)","(-7.734790586500038e-05,)","(5.277278277300004e-05,)","(5.2772987233000185e-05,)","(-0.00023888964141993707,)","(3.516355329399867e-05,)","(3.517672210498479e-05,)","(0.04197711077102895,)","(0.00045729764801194506,)","(0.00045729764801194506,)",1.25,0.75,1.0
"(0.020620495344331857,)","(0.0005860706503426627,)","(0.0005860762265967878,)","(0.00018788566157901254,)","(0.00023151622768802227,)","(0.00023151622768902147,)","(-6.883476151199955e-05,)","(4.2593396351000255e-05,)","(4.259374860100026e-05,)","(-0.00019906901640903696,)","(2.5480848390962985e-05,)","(2.54860724649697e-05,)","(0.020700513462031722,)","(0.000286480178004922,)","(0.000286480178004922,)",1.25,0.75,1.25
"(0.00911656809427086,)","(0.00031180339553316117,)","(0.0003118102216319585,)","(-2.590172503996735e-05,)","(0.00013567614784601445,)","(0.00013567614784601445,)","(-5.7754576483000364e-05,)","(3.2878778848000056e-05,)","(3.28787155980002e-05,)","(-0.0001379700615490309,)","(1.257834484097442e-05,)","(1.258523396197031e-05,)","(0.009338194457995996,)","(0.0001306701240082475,)","(0.0001306701240082475,)",1.25,0.75,1.5
"(0.0036951456652616343,)","(0.00020783773069865674,)","(0.0002078449505233948,)","(-0.00012829168193900786,)","(9.397890900200712e-05,)","(9.397890900200712e-05,)","(-4.454952637199987e-05,)","(2.3773163872000107e-05,)","(2.377300258100002e-05,)","(-8.344457898995516e-05,)","(5.634139753990519e-06,)","(5.6415205989812645e-06,)","(0.003951431453003806,)","(8.445151800628992e-05,)","(8.445151800628992e-05,)",1.25,0.75,1.75
"(0.08370944607844422,)","(0.0013836494630936613,)","(0.001383643956103242,)","(0.0009284035862630047,)","(0.0007055669717800084,)","(0.0007055669717800084,)","(-8.751084874899975e-05,)","(6.579015567500027e-05,)","(6.578977424800004e-05,)","(-0.00022317584288400472,)","(3.893508403798873e-05,)","(3.8929958574990264e-05,)","(0.08309172918296781,)","(0.0005733572509996065,)","(0.0005733572509996065,)",1.25,1.0,0.25
"(0.06430522565563024,)","(0.0012185318568356251,)","(0.001218531559203484,)","(0.000754586776407995,)","(0.0005829494715640093,)","(0.0005829494715630101,)","(-8.288570222399943e-05,)","(6.0278666846000275e-05,)","(6.027906087400017e-05,)","(-0.0002391165041379928,)","(3.8074965139967e-05,)","(3.807427298896382e-05,)","(0.06387264108496993,)","(0.0005372287529894493,)","(0.0005372287529894493,)",1.25,1.0,0.5
"(0.042166687720936125,)","(0.0009622658546390994,)","(0.0009622600321961272,)","(0.0005058277745219608,)","(0.00041702930831499785,)","(0.00041702930831399865,)","(-7.734326320199981e-05,)","(5.2772773686000224e-05,)","(5.277325938500034e-05,)","(-0.00023890756273398095,)","(3.516612337198244e-05,)","(3.515981582299932e-05,)","(0.04197711077202371,)","(0.0004572976490067049,)","(0.00045729764801194506,)",1.25,1.0,0.75
"(0.024071680441181798,)","(0.0006587022197663828,)","(0.0006586935341488243,)","(0.00024549363307801997,)","(0.0002619101292100079,)","(0.0002619101292100079,)","(-7.074339145799998e-05,)","(4.460553662500016e-05,)","(4.460766304700001e-05,)","(-0.00020997357083399337,)","(2.797440786997396e-05,)","(2.7963595861990598e-05,)","(0.024106903771041743,)","(0.00032421214601185966,)","(0.00032421214601185966,)",1.25,1.0,1.0
"(0.012189732804415598,)","(0.00038722289713177815,)","(0.00038715594530458475,)","(3.4222675296985416e-05,)","(0.00015985076319299796,)","(0.00015985076314700697,)","(-6.188171544200009e-05,)","(3.6203497830000157e-05,)","(3.6197744885e-05,)","(-0.00015929882503998294,)","(1.685076533297636e-05,)","(1.6789494979990716e-05,)","(0.012376690669015034,)","(0.00017431787000532495,)","(0.00017431794199751494,)",1.25,1.0,1.25
"(0.005566382848996909,)","(0.0002354947777973848,)","(0.00023551385723408202,)","(-9.522803001299485e-05,)","(0.00010892152703600999,)","(0.00010892152697000723,)","(-5.050556006800039e-05,)","(2.76139202130001e-05,)","(2.7614861291999984e-05,)","(-0.00010555699971701027,)","(7.5238742049676954e-06,)","(7.541940544975034e-06,)","(0.005817673438997417,)","(9.14354559995445e-05,)","(9.143552799173449e-05,)",1.25,1.0,1.5
"(0.0023188144702146474,)","(0.00019488843432213798,)","(0.00019489483838697197,)","(-0.00014691748539602534,)","(8.093122374699946e-05,)","(8.093122374699946e-05,)","(-3.8179550283999955e-05,)","(2.0235653786000122e-05,)","(2.023419679500005e-05,)","(-6.352501306497449e-05,)","(5.5470860389761345e-06,)","(5.554947223984641e-06,)","(0.002567436518006616,)","(8.817446999387357e-05,)","(8.817446999387357e-05,)",1.25,1.0,1.75
"(0.038844020979013294,)","(0.0009145675347213,)","(0.0009145751113237566,)","(0.00046256627254198657,)","(0.00038963308540501673,)","(0.00038963308540601593,)","(-7.637597591299977e-05,)","(5.146773174800022e-05,)","(5.14679549710002e-05,)","(-0.00023624269106198303,)","(3.431090177796747e-05,)","(3.431825483296569e-05,)","(0.038694073373022775,)","(0.0004391558150018682,)","(0.000439155815996628,)",1.25,1.25,0.25
"(0.030491835690810376,)","(0.0007798856570104817,)","(0.0007798893934136686,)","(0.00034526152057701154,)","(0.0003183235875980073,)","(0.0003183235875980073,)","(-7.354842397600024e-05,)","(4.78585582280003e-05,)","(4.7858472774000085e-05,)","(-0.00022476455850103938,)","(3.1423317408990625e-05,)","(3.142713911696848e-05,)","(0.030444887152981437,)","(0.00038228019300845517,)","(0.000382280194003215,)",1.25,1.25,0.5
"(0.020620485833831026,)","(0.0005860679924865053,)","(0.0005860676754139149,)","(0.00018788258223995102,)","(0.00023151536037199771,)","(0.00023151536037199771,)","(-6.883827482200011e-05,)","(4.2592013575000216e-05,)","(4.2593796668999925e-05,)","(-0.00019907193481391583,)","(2.5480440648983915e-05,)","(2.5478340512002928e-05,)","(0.020700513462031722,)","(0.000286480178004922,)","(0.000286480178004922,)",1.25,1.25,0.75
"(0.01218967285737449,)","(0.00038716441244446287,)","(0.0003871572528169054,)","(3.4222411729012414e-05,)","(0.00015985068061902252,)","(0.00015985068061802332,)","(-6.188684751699987e-05,)","(3.619808455000012e-05,)","(3.61980609050001e-05,)","(-0.0001593532959379973,)","(1.6797776869970082e-05,)","(1.6790640679970048e-05,)","(0.012376690589007922,)","(0.00017431787000532495,)","(0.00017431787000532495,)",1.25,1.25,1.0
"(0.00639735427080268,)","(0.0002512686956777088,)","(0.0002512623761674604,)","(-7.93567308169929e-05,)","(0.0001151874804580233,)","(0.0001151874804580233,)","(-5.2565540364999785e-05,)","(2.9040878449000315e-05,)","(2.903862461600031e-05,)","(-0.00011411010595302473,)","(8.645494382952812e-06,)","(8.64142896395137e-06,)","(0.006643386648022442,)","(9.839484201279447e-05,)","(9.839484201279447e-05,)",1.25,1.25,1.25
"(0.003022165307754676,)","(0.0002009684856147942,)","(0.0002009663431294939,)","(-0.0001383778012220005,)","(8.794394387801052e-05,)","(8.794394387801052e-05,)","(-4.172746450999999e-05,)","(2.2129089158000066e-05,)","(2.2127742061000145e-05,)","(-7.415524861101308e-05,)","(5.397477980978449e-06,)","(5.396682521974228e-06,)","(0.0032764258210136177,)","(8.549797399837189e-05,)","(8.549797399837189e-05,)",1.25,1.25,1.5
"(0.0012883066247297847,)","(0.0001821463338274043,)","(0.0001821350641364461,)","(-0.00015229828146101632,)","(6.878770956300628e-05,)","(6.878770956200708e-05,)","(-3.118470963200037e-05,)","(1.7158250239000285e-05,)","(1.7159431061999995e-05,)","(-4.5364290117005934e-05,)","(6.90010681797526e-06,)","(6.88765638598432e-06,)","(0.0015171539060361283,)","(8.930026700681992e-05,)","(8.930026700681992e-05,)",1.25,1.25,1.75
"(0.016413390429448782,)","(0.0004901349966246471,)","(0.000490103709523737,)","(0.0001135246821030167,)","(0.0001950282154840055,)","(0.0001950282154840055,)","(-6.591024695599967e-05,)","(3.9747049022000134e-05,)","(3.9744489840000136e-05,)","(-0.00018202434583902694,)","(2.1668471283986523e-05,)","(2.1639742970980258e-05,)","(0.016547800341015773,)","(0.0002336912610019226,)","(0.0002336912610019226,)",1.25,1.5,0.25
"(0.013121900243220352,)","(0.00041025386187243384,)","(0.0004102416409921261,)","(5.2105718510997434e-05,)","(0.0001674396356210195,)","(0.0001674396356200203,)","(-6.29013632110001e-05,)","(3.7062973048999914e-05,)","(3.7063251221000106e-05,)","(-0.0001649326381939764,)","(1.798032079397549e-05,)","(1.7967821620973323e-05,)","(0.013297628526004246,)","(0.00018777093200128547,)","(0.00018777093200128547,)",1.25,1.5,0.5
"(0.009116555542021842,)","(0.00031180184154777635,)","(0.00031179223157096203,)","(-2.590193281498676e-05,)","(0.0001356762075420126,)","(0.0001356762075420126,)","(-5.775438786800044e-05,)","(3.2878648197000055e-05,)","(3.2877931602000136e-05,)","(-0.00013798259404801394,)","(1.2576862669977373e-05,)","(1.2567968428967013e-05,)","(0.009338194457001237,)","(0.00013067012301348768,)","(0.0001306701240082475,)",1.25,1.5,0.75
"(0.005566383643241579,)","(0.0002355176262369696,)","(0.0002355117019874342,)","(-9.522905821601757e-05,)","(0.00010892121557401491,)","(0.00010892121550801215,)","(-5.050531696799976e-05,)","(2.7614889101000312e-05,)","(2.7615186552999976e-05,)","(-0.00010555536439596502,)","(7.546065200980667e-06,)","(7.539771454984079e-06,)","(0.00581767338300665,)","(9.14354559995445e-05,)","(9.143552799173449e-05,)",1.25,1.5,1.0
"(0.003022156503732276,)","(0.0002009680790990842,)","(0.0002009670766653926,)","(-0.00013837755039197708,)","(8.7943909634014e-05,)","(8.79439096330148e-05,)","(-4.17258317439999e-05,)","(2.212928503700015e-05,)","(2.2127898110000255e-05,)","(-7.416593569503638e-05,)","(5.396910039978664e-06,)","(5.397294452980095e-06,)","(0.0032764258210136177,)","(8.549797399837189e-05,)","(8.549797399837189e-05,)",1.25,1.5,1.25
"(0.0014672438988156955,)","(0.00018542573673130391,)","(0.00018541761207302443,)","(-0.00015232132563597345,)","(7.107344968601548e-05,)","(7.107344968601548e-05,)","(-3.262178091099953e-05,)","(1.771236291100032e-05,)","(1.7713729328000267e-05,)","(-4.882917490900418e-05,)","(6.553507161971561e-06,)","(6.544016178972045e-06,)","(0.0017010161810162572,)","(9.008641700347653e-05,)","(9.008641700347653e-05,)",1.25,1.5,1.5
"(0.0006266534633709853,)","(0.00015834080468835054,)","(0.00015833735537285065,)","(-0.00014507219587195364,)","(6.0026833658022305e-05,)","(6.0026833658022305e-05,)","(-2.4461245024999783e-05,)","(1.5084529541000303e-05,)","(1.5083935881000238e-05,)","(-3.0750190063016936e-05,)","(8.420602303965685e-06,)","(8.417746483968536e-06,)","(0.0008269370940183762,)","(7.48088390025714e-05,)","(7.48088390025714e-05,)",1.25,1.5,1.75
"(0.006397436907974452,)","(0.0002512735968025481,)","(0.0002512725455687814,)","(-7.934769908396477e-05,)","(0.00011519157370001865,)","(0.00011519157370001865,)","(-5.2559813609999884e-05,)","(2.904003324099994e-05,)","(2.9039898783000083e-05,)","(-0.00011404222831601363,)","(8.647147335977268e-06,)","(8.64623093896344e-06,)","(0.006643386649045624,)","(9.839484201279447e-05,)","(9.839484201279447e-05,)",1.25,1.75,0.25
"(0.0051949449709809414,)","(0.00022908267516186243,)","(0.00022908174344138388,)","(-0.00010215920760298092,)","(0.00010607868246900742,)","(0.00010607868246900742,)","(-4.948721013400001e-05,)","(2.692710035100002e-05,)","(2.6927099976000075e-05,)","(-0.00010148505181703515,)","(7.0830446859682095e-06,)","(7.082113501977183e-06,)","(0.0054480764400182125,)","(8.89938470152174e-05,)","(8.89938470152174e-05,)",1.25,1.75,0.5
"(0.00369521282030405,)","(0.00020786686931728582,)","(0.0002078613816252073,)","(-0.00012829196244701357,)","(9.397856413601025e-05,)","(9.397856413601025e-05,)","(-4.4546045160999415e-05,)","(2.3774857476000204e-05,)","(2.377331704200023e-05,)","(-8.338062466800578e-05,)","(5.661929895983686e-06,)","(5.657982633966441e-06,)","(0.003951431452037468,)","(8.445151701153009e-05,)","(8.445151701153009e-05,)",1.25,1.75,0.75
"(0.0023188102202027494,)","(0.0001948886206264433,)","(0.00019489052161247855,)","(-0.00014691761344998167,)","(8.093114411400482e-05,)","(8.093114403201485e-05,)","(-3.8179357520000314e-05,)","(2.023566757600008e-05,)","(2.0233978071000202e-05,)","(-6.352939876000385e-05,)","(5.547338918970857e-06,)","(5.550857637981466e-06,)","(0.002567436590993566,)","(8.817446999387357e-05,)","(8.817454201448527e-05,)",1.25,1.75,1.0
"(0.0012882968217411417,)","(0.0001821413461868815,)","(0.00018213992831306314,)","(-0.0001522984412959949,)","(6.878763267501031e-05,)","(6.878763267600951e-05,)","(-3.118627240599999e-05,)","(1.715831870899992e-05,)","(1.715816549900011e-05,)","(-4.537237120100235e-05,)","(6.895126848982525e-06,)","(6.8938630559678415e-06,)","(0.0015171539070308881,)","(8.930026800157975e-05,)","(8.930026700681992e-05,)",1.25,1.75,1.25
"(0.0006266486372510371,)","(0.00015834623957289296,)","(0.0001583459015819244,)","(-0.000145072017389003,)","(6.002684279801662e-05,)","(6.002684279701742e-05,)","(-2.4461853972000246e-05,)","(1.5084028236000187e-05,)","(1.5085037813999946e-05,)","(-3.075463077700791e-05,)","(8.426528906979591e-06,)","(8.425181131976878e-06,)","(0.0008269371399762804,)","(7.48088390025714e-05,)","(7.480883999733123e-05,)",1.25,1.75,1.5
"(0.0002519878736109149,)","(0.00012726174287536196,)","(0.0001272606305917634,)","(-0.0001292996164450333,)","(5.569949882799907e-05,)","(5.569949882799907e-05,)","(-1.8629241127999553e-05,)","(1.3799670747000146e-05,)","(1.3797414449000147e-05,)","(-1.9921224155922124e-05,)","(8.758722015000941e-06,)","(8.759865919000243e-06,)","(0.0004198379549507081,)","(4.9003850989493e-05,)","(4.9003850989493e-05,)",1.25,1.75,1.75
"(0.12070292887179335,)","(0.0016113875318524151,)","(0.0016113829724133666,)","(0.0011765885977509938,)","(0.0008926817282760013,)","(0.0008926817282770005,)","(-9.750021098200046e-05,)","(7.474224607400019e-05,)","(7.474224604600002e-05,)","(-0.00017005831992100706,)","(3.978914662297606e-05,)","(3.978458737899371e-05,)","(0.1197938988049998,)","(0.0006041744109950287,)","(0.0006041744100002688,)",1.5,0.25,0.25
"(0.0915812828807816,)","(0.0014400081115013563,)","(0.001440008445570129,)","(0.0009895275916549928,)","(0.0007500162498370044,)","(0.0007500162498370044,)","(-8.947625854499987e-05,)","(6.784077133600028e-05,)","(6.783993196500006e-05,)","(-0.00021388141042999465,)","(3.917660211696927e-05,)","(3.91777755639755e-05,)","(0.09089511295798047,)","(0.0005829744879974896,)","(0.0005829744879974896,)",1.5,0.25,0.5
"(0.059002571627758016,)","(0.0011651260694520715,)","(0.0011651291189593849,)","(0.0007005265846429798,)","(0.0005458618542190097,)","(0.0005458618542180105,)","(-8.163259825199991e-05,)","(5.862638189499999e-05,)","(5.8626953749999974e-05,)","(-0.00024130219897697258,)","(3.764718581797388e-05,)","(3.764966345898291e-05,)","(0.05862497983997628,)","(0.0005229906469992329,)","(0.0005229906469992329,)",1.5,0.25,0.75
"(0.03303261152188952,)","(0.0008233347963653159,)","(0.0008233543572657709,)","(0.00038233854725400196,)","(0.0003403425783179981,)","(0.0003403425783179981,)","(-7.448545607900009e-05,)","(4.901518979499994e-05,)","(4.901555326100029e-05,)","(-0.00022906271493597363,)","(3.2444108828993956e-05,)","(3.246330585099377e-05,)","(0.032953821145980555,)","(0.0004015329189996919,)","(0.00040153291999445173,)",1.5,0.25,1.0
"(0.016413355197641977,)","(0.0004901354949140568,)","(0.0004901025336323528,)","(0.00011352656115498627,)","(0.00019502896531500835,)","(0.00019502896531500835,)","(-6.591531014000021e-05,)","(3.974415871900016e-05,)","(3.9744239833000225e-05,)","(-0.0001820563944400222,)","(2.167110930997862e-05,)","(2.1638067080970158e-05,)","(0.016547800341015773,)","(0.0002336912610019226,)","(0.0002336912610019226,)",1.5,0.25,1.25
"(0.007362842832037586,)","(0.0002715156827264309,)","(0.0002715190637161413,)","(-6.051709333798616e-05,)","(0.00012241482673100434,)","(0.00012241482673000514,)","(-5.463292489900004e-05,)","(3.053149189800007e-05,)","(3.053263795400017e-05,)","(-0.00012321459335204454,)","(1.0025943946972982e-05,)","(1.0028179127985482e-05,)","(0.007601207443997282,)","(0.0001085434199978863,)","(0.0001085434199978863,)",1.5,0.25,1.5
"(0.003022106628293386,)","(0.00020094750917110105,)","(0.00020093921457942088,)","(-0.00013837856947801486,)","(8.794398051001351e-05,)","(8.794398051101271e-05,)","(-4.173003137299949e-05,)","(2.2126067169000313e-05,)","(2.2127156205000147e-05,)","(-7.421059293202803e-05,)","(5.379486894968588e-06,)","(5.370103536961324e-06,)","(0.003276425821979956,)","(8.549797399837189e-05,)","(8.549797399837189e-05,)",1.5,0.25,1.75
"(0.0915812424998137,)","(0.0014399799191266993,)","(0.0014399786724652586,)","(0.0009895254571999912,)","(0.0007500153001959997,)","(0.0007500153001959997,)","(-8.947724492000021e-05,)","(6.783943140499992e-05,)","(6.783949322100016e-05,)","(-0.0002139186151609851,)","(3.915069918999925e-05,)","(3.9149391197979e-05,)","(0.09089511290301289,)","(0.0005829744879974896,)","(0.0005829744879974896,)",1.5,0.5,0.25
"(0.07014733963868025,)","(0.0012728437629903055,)","(0.0012728204870597892,)","(0.0008106892103329488,)","(0.0006219624730769979,)","(0.0006219624730759987,)","(-8.426259329899922e-05,)","(6.20179866270003e-05,)","(6.201825831200032e-05,)","(-0.00023550794868196223,)","(3.844292998297916e-05,)","(3.841938202897577e-05,)","(0.06965642096997726,)","(0.0005504203730026802,)","(0.0005504203730026802,)",1.5,0.5,0.5
"(0.045807168790048536,)","(0.0010112126877857008,)","(0.0010112306711960173,)","(0.0005512366828649973,)","(0.00044632194662599933,)","(0.00044632194662699853,)","(-7.834363376999984e-05,)","(5.413522416900006e-05,)","(5.413655964699995e-05,)","(-0.00024086993731201045,)","(3.5905599326979676e-05,)","(3.5922247195979695e-05,)","(0.045575145678014906,)","(0.0004748499169977549,)","(0.0004748499169977549,)",1.5,0.5,0.75
"(0.02603004248828711,)","(0.0006974927798069075,)","(0.0006975036766903031,)","(0.00027690453778100865,)","(0.00027918771996102154,)","(0.00027918771996102154,)","(-7.168200957199987e-05,)","(4.565550670700006e-05,)","(4.565736174200023e-05,)","(-0.0002151608936340199,)","(2.915401864597711e-05,)","(2.916306075795294e-05,)","(0.02603998085396597,)","(0.0003434955339969292,)","(0.0003434955339969292,)",1.5,0.5,1.0
"(0.013121882091724046,)","(0.000410237912149114,)","(0.00041023231349868183,)","(5.210634511798595e-05,)","(0.00016743983279501884,)","(0.0001674398327509985,)","(-6.290562686999974e-05,)","(3.706213337599995e-05,)","(3.70620900920003e-05,)","(-0.00016494722450199895,)","(1.7965013441978428e-05,)","(1.795938617699111e-05,)","(0.013297628597996436,)","(0.00018777093200128547,)","(0.00018777100399347546,)",1.5,0.5,1.25
"(0.0059663967493577275,)","(0.00024288172008368747,)","(0.00024287298481340258,)","(-8.764061920796262e-05,)","(0.00011194941210501685,)","(0.0001119494120390141,)","(-5.153239759699956e-05,)","(2.8319874295000286e-05,)","(2.831707498e-05,)","(-0.00010975607762903072,)","(8.065260769962723e-06,)","(8.059252773973125e-06,)","(0.00621532584497686,)","(9.454717300627635e-05,)","(9.454724499846634e-05,)",1.5,0.5,1.5
"(0.0024768530610685957,)","(0.00019622712233058337,)","(0.00019622044146672124,)","(-0.00014523447157599456,)","(8.258448044301536e-05,)","(8.258448044301536e-05,)","(-3.9043575371999935e-05,)","(2.0676670683999945e-05,)","(2.0675249226000027e-05,)","(-6.601192107100196e-05,)","(5.464996495979646e-06,)","(5.459736771962209e-06,)","(0.002727143029005674,)","(8.750097399001788e-05,)","(8.750097501319942e-05,)",1.5,0.5,1.75
"(0.05900252314978616,)","(0.0011650982531818954,)","(0.0011651012491142865,)","(0.0007005230829880138,)","(0.0005458602776200194,)","(0.0005458602776200194,)","(-8.163512489100036e-05,)","(5.862520980699998e-05,)","(5.862519398700016e-05,)","(-0.00024134464684902324,)","(3.762211798097326e-05,)","(3.762512992397382e-05,)","(0.05862497983798676,)","(0.0005229906469992329,)","(0.0005229906469992329,)",1.5,0.75,0.25
"(0.04580717682844693,)","(0.0010112239444026727,)","(0.0010112253575584873,)","(0.0005512343958440358,)","(0.0004463213406710187,)","(0.0004463213406720179,)","(-7.834248876000026e-05,)","(5.413564656900002e-05,)","(5.413650126300006e-05,)","(-0.00024086075308804578,)","(3.591704119795813e-05,)","(3.591759924295723e-05,)","(0.045575145675002204,)","(0.0004748499160029951,)","(0.0004748499160029951,)",1.5,0.75,0.5
"(0.030491915687491655,)","(0.0007798916012973223,)","(0.0007799603049818415,)","(0.00034526273650403727,)","(0.0003183239068120236,)","(0.0003183239068120236,)","(-7.354443744899981e-05,)","(4.785729193199995e-05,)","(4.786298105800011e-05,)","(-0.00022468976698503118,)","(3.143020760196236e-05,)","(3.149322211495886e-05,)","(0.030444887155965716,)","(0.00038228019499797483,)","(0.00038228019499797483,)",1.5,0.75,0.75
"(0.017701610434471604,)","(0.0005203519145879909,)","(0.0005203172538017498,)","(0.0001367907069809715,)","(0.00020609188386500055,)","(0.00020609188386500055,)","(-6.689710264099922e-05,)","(4.067366918800034e-05,)","(4.0672861923000264e-05,)","(-0.0001877556838340011,)","(2.294785766598917e-05,)","(2.2914004595975257e-05,)","(0.017819472514020163,)","(0.00025063850401352283,)","(0.0002506385029903413,)",1.5,0.75,1.0
