Total_energy_Delta_E_AB_AB,Total_energy_BSSE_A,Total_energy_BSSE_B,MP2_correlation_energy_Delta_E_AB_AB,MP2_correlation_energy_BSSE_A,MP2_correlation_energy_BSSE_B,(T)_correlation_energy_Delta_E_AB_AB,(T)_correlation_energy_BSSE_A,(T)_correlation_energy_BSSE_B,CCSD corr.energy_Delta_E_AB_AB,CCSD corr.energy_BSSE_A,CCSD corr.energy_BSSE_B,SCF_energy_Delta_E_AB_AB,SCF_energy_BSSE_A,SCF_energy_BSSE_B,x,y,z
"(0.006792962866597918,)","(0.0008642762126243042,)","(0.0013942575077834363,)","(-0.0028063407873100132,)","(0.000567682027623001,)","(0.0008789966961309792,)","(-0.0005310999624110009,)","(8.933438609299953e-05,)","(0.00013058058057100006,)","(0.00048760692820598583,)","(-3.744663322099995e-05,)","(-4.651864321800203e-05,)","(0.009642796688012822,)","(0.00024470643199947517,)","(0.0004311988739971184,)",1.75,1.25,1.25
"(0.00298926339785055,)","(0.0006874571179480427,)","(0.0010240647896893051,)","(-0.002182654522926014,)","(0.00044620953455098977,)","(0.0006367478559699824,)","(-0.00042823353950299965,)","(7.535217409100018e-05,)","(0.0001009127119259998,)","(0.0002711092843230567,)","(-2.8485345836992693e-05,)","(-3.2952786180984184e-05,)","(0.005329042175986842,)","(0.00019438075499067509,)","(0.0003193570079957908,)",1.75,1.25,1.5
"(0.0010164842636442017,)","(0.0005606503489161696,)","(0.0007504465980474606,)","(-0.0016634850783699973,)","(0.00035538139019999915,)","(0.00048127719625698506,)","(-0.00033492433876700003,)","(6.29536827949995e-05,)","(7.857160186700018e-05,)","(0.00013715601380401288,)","(-2.1115032522001087e-05,)","(-2.5747365229006336e-05,)","(0.002877737666011626,)","(0.0001634303079924848,)","(0.00021634516500057543,)",1.75,1.25,1.75
"(0.021582154954387534,)","(0.0013429330354171043,)","(0.0022681492260829828,)","(-0.0039020859966930055,)","(0.0009565130662470001,)","(0.0014506406595120036,)","(-0.0006825188887700003,)","(0.00011712056962600009,)","(0.00017396037226099972,)","(0.0013455243541450057,)","(-6.999082393199796e-05,)","(-6.746791098502514e-05,)","(0.02482123548502102,)","(0.0003392902229961692,)","(0.0007110161050007946,)",1.75,1.5,0.25
"(0.016265913481589678,)","(0.0012262418149475707,)","(0.0020898153940152042,)","(-0.0036938017263400125,)","(0.0008663542783349798,)","(0.0013570308281520005,)","(-0.0006547495239759994,)","(0.00011133076154899984,)","(0.000170342061093,)","(0.0011546390418000485,)","(-6.154857864598684e-05,)","(-6.7974568668e-05,)","(0.019459825690006483,)","(0.0003101053539893428,)","(0.0006304170729976022,)",1.75,1.5,0.5
"(0.01019784559102277,)","(0.0010746277803974635,)","(0.001810954877797144,)","(-0.0033467495107049883,)","(0.0007451190089579895,)","(0.0011818729278350038,)","(-0.0006058637744050001,)","(0.00010217052751499995,)","(0.00015799560332699965,)","(0.00089755120811702,)","(-5.0324036078991385e-05,)","(-6.297552815501262e-05,)","(0.013252907668004354,)","(0.0002776622799984807,)","(0.0005340618750011572,)",1.75,1.5,0.75
"(0.005196614589650039,)","(0.0009081839087343724,)","(0.0014801827404227197,)","(-0.0028854037271489608,)","(0.0006183921943500037,)","(0.0009450294239810031,)","(-0.0005360606786020006,)","(9.117194139999975e-05,)","(0.00013600123896499988,)","(0.0006337429460539501,)","(-3.970858523502652e-05,)","(-4.997942143700196e-05,)","(0.007984336049005947,)","(0.00023832835799453278,)","(0.00044913149899628024,)",1.75,1.5,1.0
"(0.0018851033338194156,)","(0.0007460891659007984,)","(0.001147248154993008,)","(-0.0023721190861200336,)","(0.0005027467377559935,)","(0.0007120247087469833,)","(-0.0004524653795400001,)","(7.990061753999998e-05,)","(0.00010975679248300015,)","(0.0004093527233730021,)","(-3.093400968601223e-05,)","(-3.6455470658003364e-05,)","(0.0043003350750012714,)","(0.00019437581998715814,)","(0.0003619221240001025,)",1.75,1.5,1.25
"(7.897435199311076e-05,)","(0.000612601888150266,)","(0.0008551526076985283,)","(-0.001881127693365986,)","(0.00040769108496499507,)","(0.0005372990147800016,)","(-0.00036670932332899964,)","(6.918196653899963e-05,)","(8.627032951599983e-05,)","(0.00024527791027798007,)","(-2.3665486676011094e-05,)","(-2.8200417023005464e-05,)","(0.002081533457996443,)","(0.00015939432299205691,)","(0.0002597836799935749,)",1.75,1.5,1.5
"(-0.0006677128419170231,)","(0.0005160427128743095,)","(0.0006397398150852496,)","(-0.0014616871007349652,)","(0.0003339905770740059,)","(0.0004152120927159997,)","(-0.0002886258003989995,)","(5.9198626003000195e-05,)","(6.798604734200003e-05,)","(0.0001385075393199875,)","(-1.7604676597005042e-05,)","(-2.2587981855004546e-05,)","(0.0009440925200010497,)","(0.0001404581859958398,)","(0.00017912965699906636,)",1.75,1.5,1.75
"(0.009311544072076572,)","(0.0010832662578224017,)","(0.0017810536988633885,)","(-0.003206615656592998,)","(0.00079730081926499,)","(0.0010943462842609997,)","(-0.0005738070143899996,)","(0.00010241123174700023,)","(0.00014051215476399998,)","(0.0009424999496330244,)","(-5.6963284086997135e-05,)","(-5.651546391000073e-05,)","(0.012149466793999864,)","(0.00024051749099385233,)","(0.0006027107239958696,)",1.75,1.75,0.25
"(0.006504976216334057,)","(0.0010032427202020244,)","(0.0016444431557687267,)","(-0.0030141105843969895,)","(0.0007303005802989926,)","(0.0010134473118629805,)","(-0.0005463913885130007,)","(9.765432306299993e-05,)","(0.00013648546601899986,)","(0.0008149022354649593,)","(-4.998032404099351e-05,)","(-5.277667093900318e-05,)","(0.009250575953998919,)","(0.000225268140994217,)","(0.0005472870489882098,)",1.75,1.75,0.5
"(0.0033240778602987575,)","(0.000891588206684446,)","(0.0014286054917533875,)","(-0.0027186946054499894,)","(0.0006388245989469854,)","(0.0008751704048869935,)","(-0.0005014351932640009,)","(9.025579008099978e-05,)","(0.00012526717769999977,)","(0.0006440421307029875,)","(-4.1226053200005275e-05,)","(-4.536274468999735e-05,)","(0.005900165528984758,)","(0.00020373387098970852,)","(0.00047353065399136085,)",1.75,1.75,0.75
"(0.0007822976730267328,)","(0.0007665725101020371,)","(0.0011713149795724576,)","(-0.0023522762545090115,)","(0.0005412561163979923,)","(0.0007082484448689974,)","(-0.0004416525783750005,)","(8.155809059700019e-05,)","(0.00010757621105099945,)","(0.00046893937133601904,)","(-3.278407168100239e-05,)","(-3.6235443143017854e-05,)","(0.0031072871349948628,)","(0.00017654237498732073,)","(0.0003917257669883156,)",1.75,1.75,1.0
"(-0.0007696918604409575,)","(0.0006475032380421908,)","(0.0009127964243731412,)","(-0.0019579453917580314,)","(0.0004511034991809826,)","(0.0005553306723269924,)","(-0.0003732521957410008,)","(7.269377765199963e-05,)","(8.79764701389998e-05,)","(0.000318072889470028,)","(-2.5535547906990752e-05,)","(-2.9133603891007276e-05,)","(0.0012434328379953286,)","(0.000149241508992759,)","(0.0002986228859924722,)",1.75,1.75,1.25
"(-0.0014459149885936995,)","(0.0005490594609653954,)","(0.0006897568578665414,)","(-0.0015809021800600176,)","(0.0003749597313549846,)","(0.00043584840909299816,)","(-0.00030434485374199963,)","(6.394410563899996e-05,)","(7.046959923999972e-05,)","(0.0002042149740600352,)","(-1.9490844141989427e-05,)","(-2.423621008201815e-05,)","(0.00023511707099999057,)","(0.00012964646799673574,)","(0.0002076750599968591,)",1.75,1.75,1.5
"(-0.0015233534529954795,)","(0.00047027763264395617,)","(0.0005231425728879913,)","(-0.0012520666368180111,)","(0.00031212402711999765,)","(0.00033998248990999014,)","(-0.00024157625969999964,)","(5.524865031000022e-05,)","(5.582661131499963e-05,)","(0.0001261900204330424,)","(-1.4767010238003753e-05,)","(-1.933404656198623e-05,)","(-0.00015590057797965073,)","(0.00011767196500045429,)","(0.00014666751799552458,)",1.75,1.75,1.75
